"State","Effect_Duration","Effect_Category","Effect","Age","Deaths"
"AL","Chronic","100% Alcohol-Attributable","Alcohol abuse","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol abuse","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol abuse","35-49",17
"AL","Chronic","100% Alcohol-Attributable","Alcohol abuse","50-64",21
"AL","Chronic","100% Alcohol-Attributable","Alcohol abuse","65+",11
"AL","Chronic","100% Alcohol-Attributable","Alcohol cardiomyopathy","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol cardiomyopathy","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol cardiomyopathy","35-49",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol cardiomyopathy","50-64",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol cardiomyopathy","65+",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol dependence syndrome","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol dependence syndrome","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol dependence syndrome","35-49",14
"AL","Chronic","100% Alcohol-Attributable","Alcohol dependence syndrome","50-64",35
"AL","Chronic","100% Alcohol-Attributable","Alcohol dependence syndrome","65+",16
"AL","Chronic","100% Alcohol-Attributable","Alcohol polyneuropathy","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol polyneuropathy","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol polyneuropathy","35-49",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol polyneuropathy","50-64",0
"AL","Chronic","100% Alcohol-Attributable","Alcohol polyneuropathy","65+",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic gastritis","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic gastritis","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic gastritis","35-49",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic gastritis","50-64",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic gastritis","65+",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic liver disease","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic liver disease","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic liver disease","35-49",90
"AL","Chronic","100% Alcohol-Attributable","Alcoholic liver disease","50-64",217
"AL","Chronic","100% Alcohol-Attributable","Alcoholic liver disease","65+",83
"AL","Chronic","100% Alcohol-Attributable","Alcoholic myopathy","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic myopathy","20-34",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic myopathy","35-49",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic myopathy","50-64",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic myopathy","65+",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic psychosis","0-19",0
"AL","Chronic","100% Alcohol-Attributable","Alcoholic psychosis","20-34",0
